applicable_indicator_count,cascading_fault_prediction_accuracy,control_command_loss_rate,dust_gain_loss_quantification_error_pct,experiment_type,fault_propagation_delay_error_pct,indicator_pass_count,indicator_total_count,mutation_parameters,not_applicable_indicator_count,predicted_gain_loss_db,reference_gain_loss_db,relay_handover_delay_disturbance_ms,resource_contention_resolution_rate,rf_lifetime_prediction_error_pct,route_convergence_time_ms,run_id,science_data_interruption_s,stochastic_enabled,stochastic_failed_link_count,stochastic_failed_links,subnet_paralysis_probability,video_return_success_rate
14,1.0,1.1440942989846547e-05,3.139433747224312,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9970910139961494, ""buffer_overflow_severity"": 0.17678545143119317, ""dust_level"": 0.5150990218864583, ""main_hub_failure_severity"": 0.7891897807860779, ""relay_handover_extra_delay_ms"": 107.67574789604907}",0,1.5049734870199956,1.5537525179157914,35.0,1.0,3.9060287178272883,35.0,20,0.45499999999999996,True,0,,0.0,0.999935504842364
14,1.0,8.68720882808205e-06,3.49052057926863,monte_carlo,1.4848667435828018,14,14,"{""backup_link_availability"": 0.9945580065645163, ""buffer_overflow_severity"": 0.2198925612436608, ""dust_level"": 0.23734144782116756, ""main_hub_failure_severity"": 0.8889335396375846, ""relay_handover_extra_delay_ms"": 190.97513472445738}",0,0.6422879585795707,0.6655180013763494,35.0,1.0,3.9060287178272883,35.0,21,0.45499999999999996,True,0,,0.0,0.9999510281937297
14,1.0,8.93100963208049e-06,3.5717458824796204,monte_carlo,1.4848667435828018,14,14,"{""backup_link_availability"": 0.998605651794758, ""buffer_overflow_severity"": 0.2826008094794069, ""dust_level"": 0.2619325357573935, ""main_hub_failure_severity"": 0.8191965177433724, ""relay_handover_extra_delay_ms"": 62.920357527421224}",0,0.7138341701318658,0.7402749087024763,35.0,1.0,3.9060287178272883,35.0,22,0.45499999999999996,True,0,,0.0,0.9999496538380794
14,1.0,7.431840045768467e-06,3.2488241634004593,monte_carlo,1.4848667435828018,14,14,"{""backup_link_availability"": 0.9941263773754578, ""buffer_overflow_severity"": 0.5035367361579515, ""dust_level"": 0.11071828294160306, ""main_hub_failure_severity"": 0.7741124783367391, ""relay_handover_extra_delay_ms"": 137.1653028744135}",0,0.28874413520449155,0.2984399235541527,35.0,1.0,3.9060287178272883,35.0,23,0.45499999999999996,True,0,,0.0,0.999958104972777
14,1.0,8.25823280878879e-06,3.080853732472616,monte_carlo,1.4848667435828018,14,14,"{""backup_link_availability"": 0.9957383505094262, ""buffer_overflow_severity"": 0.7853784812476001, ""dust_level"": 0.19407260518261565, ""main_hub_failure_severity"": 0.9811859902072522, ""relay_handover_extra_delay_ms"": 92.53396902400846}",0,0.5186785109104738,0.5351661987186285,35.0,1.0,3.9060287178272883,35.0,24,0.45499999999999996,True,0,,0.0,0.9999534464212206
14,1.0,1.2895831465007389e-05,3.230791302651389,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9959597484940065, ""buffer_overflow_severity"": 0.11656432000548878, ""dust_level"": 0.6618482287500457, ""main_hub_failure_severity"": 0.9867659058735065, ""relay_handover_extra_delay_ms"": 87.34827172520374}",0,2.0091026613576837,2.076179694350163,35.0,1.0,3.9060287178272883,35.0,25,0.45499999999999996,True,0,,0.0,0.9999273033610199
14,1.0,1.117169622064651e-05,3.088384383158663,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9989662826367579, ""buffer_overflow_severity"": 0.4926039877481878, ""dust_level"": 0.48794115380280517, ""main_hub_failure_severity"": 0.8297206304699296, ""relay_handover_extra_delay_ms"": 68.4967684707765}",0,1.4153427678804191,1.460446984473201,35.0,1.0,3.9060287178272883,35.0,26,0.45499999999999996,True,0,,0.0,0.9999370226385529
14,1.0,6.591077890432118e-06,5.14515484562021,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9976068991099472, ""buffer_overflow_severity"": 0.3491800158523669, ""dust_level"": 0.02591475533167321, ""main_hub_failure_severity"": 0.9119733664641375, ""relay_handover_extra_delay_ms"": 115.62543083175689}",0,0.06587815479254662,0.06945154428888421,35.0,1.0,3.9060287178272883,35.0,27,0.45499999999999996,True,0,,0.0,0.9999628445314447
14,1.0,1.2435110166109098e-05,3.396522164234416,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.999140660032461, ""buffer_overflow_severity"": 0.2784820180432759, ""dust_level"": 0.6153769247189785, ""main_hub_failure_severity"": 0.9153906716355434, ""relay_handover_extra_delay_ms"": 79.37168462447237}",0,1.8458430814950955,1.9107418519995638,35.0,1.0,3.9060287178272883,35.0,28,0.45499999999999996,True,0,,0.0,0.9999299005328293
14,1.0,1.3825274451502166e-05,3.2566228365752665,monte_carlo,1.4848667435828018,13,14,"{""backup_link_availability"": 0.9972650777808723, ""buffer_overflow_severity"": 0.5551492631903919, ""dust_level"": 0.7555979614062012, ""main_hub_failure_severity"": 0.9860569604239944, ""relay_handover_extra_delay_ms"": 110.5964229077232}",0,2.348658403388656,2.4277200902560607,35.0,1.0,3.9060287178272883,35.0,29,0.45499999999999996,True,0,,0.0,0.9999220639212163
